,x,y,z
0,2018,1,0
1,2018,2,0
2,2018,3,1
3,2018,4,10
4,2018,5,22
5,2018,6,29
6,2018,7,22
7,2018,8,8
8,2018,9,4
9,2018,10,4
10,2018,11,0
11,2018,12,0
12,2018,13,0
13,2018,14,0
14,2017,1,0
15,2017,2,0
16,2017,3,4
17,2017,4,12
18,2017,5,15
19,2017,6,32
20,2017,7,17
21,2017,8,11
22,2017,9,7
23,2017,10,2
24,2017,11,0
25,2017,12,0
26,2017,13,0
27,2017,14,0
28,2016,1,0
29,2016,2,0
30,2016,3,1
31,2016,4,18
32,2016,5,26
33,2016,6,22
34,2016,7,15
35,2016,8,10
36,2016,9,3
37,2016,10,3
38,2016,11,2
39,2016,12,0
40,2016,13,0
41,2016,14,0
42,2015,1,0
43,2015,2,0
44,2015,3,3
45,2015,4,6
46,2015,5,17
47,2015,6,26
48,2015,7,22
49,2015,8,14
50,2015,9,6
51,2015,10,5
52,2015,11,0
53,2015,12,1
54,2015,13,0
55,2015,14,0
56,2014,1,0
57,2014,2,0
58,2014,3,1
59,2014,4,12
60,2014,5,18
61,2014,6,28
62,2014,7,22
63,2014,8,10
64,2014,9,6
65,2014,10,3
66,2014,11,0
67,2014,12,0
68,2014,13,0
69,2014,14,0
70,2013,1,0
71,2013,2,0
72,2013,3,2
73,2013,4,10
74,2013,5,11
75,2013,6,31
76,2013,7,21
77,2013,8,14
78,2013,9,6
79,2013,10,5
80,2013,11,0
81,2013,12,0
82,2013,13,0
83,2013,14,0
84,2012,1,0
85,2012,2,0
86,2012,3,0
87,2012,4,9
88,2012,5,16
89,2012,6,21
90,2012,7,19
91,2012,8,26
92,2012,9,7
93,2012,10,0
94,2012,11,1
95,2012,12,1
96,2012,13,0
97,2012,14,0
98,2011,1,0
99,2011,2,0
100,2011,3,2
101,2011,4,10
102,2011,5,14
103,2011,6,26
104,2011,7,19
105,2011,8,13
106,2011,9,8
107,2011,10,5
108,2011,11,2
109,2011,12,1
110,2011,13,0
111,2011,14,0
112,2010,1,0
113,2010,2,0
114,2010,3,1
115,2010,4,7
116,2010,5,13
117,2010,6,23
118,2010,7,17
119,2010,8,18
120,2010,9,10
121,2010,10,5
122,2010,11,4
123,2010,12,0
124,2010,13,1
125,2010,14,1
126,2009,1,0
127,2009,2,0
128,2009,3,1
129,2009,4,7
130,2009,5,15
131,2009,6,15
132,2009,7,18
133,2009,8,26
134,2009,9,10
135,2009,10,1
136,2009,11,5
137,2009,12,1
138,2009,13,1
139,2009,14,0
140,2008,1,0
141,2008,2,0
142,2008,3,2
143,2008,4,14
144,2008,5,20
145,2008,6,17
146,2008,7,19
147,2008,8,18
148,2008,9,7
149,2008,10,1
150,2008,11,1
151,2008,12,1
152,2008,13,0
153,2008,14,0
154,2007,1,0
155,2007,2,0
156,2007,3,3
157,2007,4,15
158,2007,5,31
159,2007,6,29
160,2007,7,9
161,2007,8,10
162,2007,9,2
163,2007,10,0
164,2007,11,0
165,2007,12,1
166,2007,13,0
167,2007,14,0
168,2006,1,0
169,2006,2,0
170,2006,3,1
171,2006,4,12
172,2006,5,29
173,2006,6,32
174,2006,7,11
175,2006,8,10
176,2006,9,4
177,2006,10,0
178,2006,11,0
179,2006,12,1
180,2006,13,0
181,2006,14,0
182,2005,1,0
183,2005,2,0
184,2005,3,4
185,2005,4,22
186,2005,5,23
187,2005,6,24
188,2005,7,13
189,2005,8,6
190,2005,9,2
191,2005,10,4
192,2005,11,1
193,2005,12,1
194,2005,13,0
195,2005,14,0
196,2004,1,0
197,2004,2,0
198,2004,3,4
199,2004,4,25
200,2004,5,31
201,2004,6,16
202,2004,7,12
203,2004,8,6
204,2004,9,4
205,2004,10,2
206,2004,11,0
207,2004,12,0
208,2004,13,0
209,2004,14,0
210,2003,1,0
211,2003,2,0
212,2003,3,5
213,2003,4,23
214,2003,5,27
215,2003,6,22
216,2003,7,9
217,2003,8,8
218,2003,9,4
219,2003,10,1
220,2003,11,0
221,2003,12,1
222,2003,13,0
223,2003,14,0
224,2002,1,0
225,2002,2,0
226,2002,3,5
227,2002,4,24
228,2002,5,31
229,2002,6,20
230,2002,7,2
231,2002,8,11
232,2002,9,4
233,2002,10,2
234,2002,11,1
235,2002,12,0
236,2002,13,0
237,2002,14,0
238,2001,1,0
239,2001,2,1
240,2001,3,5
241,2001,4,34
242,2001,5,29
243,2001,6,16
244,2001,7,8
245,2001,8,2
246,2001,9,4
247,2001,10,1
248,2001,11,0
249,2001,12,0
250,2001,13,0
251,2001,14,0
252,2000,1,0
253,2000,2,0
254,2000,3,7
255,2000,4,34
256,2000,5,23
257,2000,6,19
258,2000,7,11
259,2000,8,4
260,2000,9,2
261,2000,10,0
262,2000,11,0
263,2000,12,0
264,2000,13,0
265,2000,14,0
266,1999,1,0
267,1999,2,1
268,1999,3,9
269,1999,4,31
270,1999,5,29
271,1999,6,14
272,1999,7,9
273,1999,8,3
274,1999,9,2
275,1999,10,0
276,1999,11,0
277,1999,12,1
278,1999,13,0
279,1999,14,0
280,1998,1,0
281,1998,2,3
282,1998,3,17
283,1998,4,30
284,1998,5,20
285,1998,6,20
286,1998,7,7
287,1998,8,3
288,1998,9,0
289,1998,10,0
290,1998,11,0
291,1998,12,0
292,1998,13,0
293,1998,14,0
294,1997,1,0
295,1997,2,3
296,1997,3,15
297,1997,4,24
298,1997,5,26
299,1997,6,17
300,1997,7,11
301,1997,8,2
302,1997,9,1
303,1997,10,0
304,1997,11,1
305,1997,12,0
306,1997,13,0
307,1997,14,0
308,1996,1,0
309,1996,2,4
310,1996,3,19
311,1996,4,25
312,1996,5,27
313,1996,6,20
314,1996,7,3
315,1996,8,1
316,1996,9,1
317,1996,10,0
318,1996,11,0
319,1996,12,0
320,1996,13,0
321,1996,14,0
322,1995,1,0
323,1995,2,3
324,1995,3,16
325,1995,4,27
326,1995,5,29
327,1995,6,14
328,1995,7,6
329,1995,8,3
330,1995,9,1
331,1995,10,0
332,1995,11,0
333,1995,12,0
334,1995,13,0
335,1995,14,0
336,1994,1,0
337,1994,2,6
338,1994,3,16
339,1994,4,40
340,1994,5,24
341,1994,6,12
342,1994,7,2
343,1994,8,0
344,1994,9,0
345,1994,10,0
346,1994,11,0
347,1994,12,0
348,1994,13,0
349,1994,14,0
350,1993,1,0
351,1993,2,6
352,1993,3,24
353,1993,4,38
354,1993,5,14
355,1993,6,12
356,1993,7,3
357,1993,8,1
358,1993,9,0
359,1993,10,1
360,1993,11,0
361,1993,12,0
362,1993,13,0
363,1993,14,0
364,1992,1,0
365,1992,2,6
366,1992,3,29
367,1992,4,33
368,1992,5,15
369,1992,6,10
370,1992,7,1
371,1992,8,3
372,1992,9,0
373,1992,10,0
374,1992,11,0
375,1992,12,0
376,1992,13,0
377,1992,14,0
378,1991,1,0
379,1991,2,6
380,1991,3,29
381,1991,4,29
382,1991,5,14
383,1991,6,15
384,1991,7,0
385,1991,8,3
386,1991,9,0
387,1991,10,0
388,1991,11,0
389,1991,12,0
390,1991,13,0
391,1991,14,0
392,1990,1,0
393,1990,2,7
394,1990,3,26
395,1990,4,37
396,1990,5,17
397,1990,6,8
398,1990,7,2
399,1990,8,1
400,1990,9,0
401,1990,10,0
402,1990,11,0
403,1990,12,0
404,1990,13,0
405,1990,14,0
406,1989,1,0
407,1989,2,9
408,1989,3,28
409,1989,4,30
410,1989,5,17
411,1989,6,9
412,1989,7,2
413,1989,8,1
414,1989,9,0
415,1989,10,0
416,1989,11,0
417,1989,12,0
418,1989,13,0
419,1989,14,0
420,1988,1,0
421,1988,2,11
422,1988,3,21
423,1988,4,34
424,1988,5,17
425,1988,6,11
426,1988,7,0
427,1988,8,1
428,1988,9,1
429,1988,10,0
430,1988,11,0
431,1988,12,0
432,1988,13,0
433,1988,14,0
434,1987,1,0
435,1987,2,3
436,1987,3,26
437,1987,4,43
438,1987,5,8
439,1987,6,12
440,1987,7,4
441,1987,8,2
442,1987,9,0
443,1987,10,0
444,1987,11,0
445,1987,12,0
446,1987,13,0
447,1987,14,0
448,1986,1,0
449,1986,2,6
450,1986,3,22
451,1986,4,34
452,1986,5,16
453,1986,6,8
454,1986,7,4
455,1986,8,3
456,1986,9,0
457,1986,10,0
458,1986,11,0
459,1986,12,0
460,1986,13,0
461,1986,14,0
462,1985,1,0
463,1985,2,1
464,1985,3,20
465,1985,4,39
466,1985,5,16
467,1985,6,14
468,1985,7,3
469,1985,8,1
470,1985,9,0
471,1985,10,1
472,1985,11,0
473,1985,12,0
474,1985,13,0
475,1985,14,0
476,1984,1,0
477,1984,2,2
478,1984,3,13
479,1984,4,21
480,1984,5,4
481,1984,6,5
482,1984,7,0
483,1984,8,0
484,1984,9,1
485,1984,10,0
486,1984,11,0
487,1984,12,0
488,1984,13,0
489,1984,14,0
490,1983,1,0
491,1983,2,0
492,1983,3,16
493,1983,4,22
494,1983,5,5
495,1983,6,5
496,1983,7,1
497,1983,8,1
498,1983,9,0
499,1983,10,0
500,1983,11,0
501,1983,12,0
502,1983,13,0
503,1983,14,0
504,1982,1,0
505,1982,2,4
506,1982,3,11
507,1982,4,22
508,1982,5,4
509,1982,6,7
510,1982,7,0
511,1982,8,1
512,1982,9,0
513,1982,10,0
514,1982,11,0
515,1982,12,0
516,1982,13,0
517,1982,14,0
518,1981,1,0
519,1981,2,1
520,1981,3,14
521,1981,4,22
522,1981,5,8
523,1981,6,2
524,1981,7,0
525,1981,8,0
526,1981,9,0
527,1981,10,0
528,1981,11,0
529,1981,12,0
530,1981,13,0
531,1981,14,0
532,1980,1,0
533,1980,2,4
534,1980,3,9
535,1980,4,15
536,1980,5,6
537,1980,6,8
538,1980,7,2
539,1980,8,0
540,1980,9,0
541,1980,10,0
542,1980,11,0
543,1980,12,0
544,1980,13,0
545,1980,14,0
546,1979,1,0
547,1979,2,6
548,1979,3,16
549,1979,4,21
550,1979,5,6
551,1979,6,4
552,1979,7,1
553,1979,8,2
554,1979,9,0
555,1979,10,0
556,1979,11,0
557,1979,12,0
558,1979,13,0
559,1979,14,0
560,1978,1,1
561,1978,2,5
562,1978,3,20
563,1978,4,11
564,1978,5,5
565,1978,6,4
566,1978,7,1
567,1978,8,1
568,1978,9,0
569,1978,10,0
570,1978,11,0
571,1978,12,0
572,1978,13,0
573,1978,14,0
574,1977,1,0
575,1977,2,6
576,1977,3,14
577,1977,4,17
578,1977,5,5
579,1977,6,3
580,1977,7,1
581,1977,8,0
582,1977,9,0
583,1977,10,0
584,1977,11,0
585,1977,12,0
586,1977,13,0
587,1977,14,0
588,1976,1,0
589,1976,2,5
590,1976,3,14
591,1976,4,20
592,1976,5,4
593,1976,6,3
594,1976,7,0
595,1976,8,0
596,1976,9,0
597,1976,10,0
598,1976,11,0
599,1976,12,0
600,1976,13,0
601,1976,14,0
602,1975,1,0
603,1975,2,4
604,1975,3,13
605,1975,4,19
606,1975,5,8
607,1975,6,1
608,1975,7,0
609,1975,8,0
610,1975,9,0
611,1975,10,0
612,1975,11,0
613,1975,12,0
614,1975,13,0
615,1975,14,0
616,1974,1,0
617,1974,2,6
618,1974,3,13
619,1974,4,13
620,1974,5,8
621,1974,6,6
622,1974,7,0
623,1974,8,2
624,1974,9,0
625,1974,10,0
626,1974,11,0
627,1974,12,0
628,1974,13,0
629,1974,14,0
630,1973,1,0
631,1973,2,5
632,1973,3,12
633,1973,4,19
634,1973,5,4
635,1973,6,6
636,1973,7,1
637,1973,8,0
638,1973,9,0
639,1973,10,0
640,1973,11,0
641,1973,12,0
642,1973,13,0
643,1973,14,0
644,1972,1,0
645,1972,2,7
646,1972,3,14
647,1972,4,15
648,1972,5,5
649,1972,6,4
650,1972,7,1
651,1972,8,1
652,1972,9,0
653,1972,10,0
654,1972,11,0
655,1972,12,0
656,1972,13,0
657,1972,14,0
658,1971,1,1
659,1971,2,7
660,1971,3,16
661,1971,4,17
662,1971,5,2
663,1971,6,0
664,1971,7,0
665,1971,8,2
666,1971,9,0
667,1971,10,0
668,1971,11,0
669,1971,12,0
670,1971,13,0
671,1971,14,0
672,1970,1,0
673,1970,2,9
674,1970,3,18
675,1970,4,15
676,1970,5,4
677,1970,6,1
678,1970,7,0
679,1970,8,0
680,1970,9,0
681,1970,10,0
682,1970,11,0
683,1970,12,0
684,1970,13,0
685,1970,14,0
686,1969,1,0
687,1969,2,11
688,1969,3,8
689,1969,4,17
690,1969,5,3
691,1969,6,3
692,1969,7,0
693,1969,8,0
694,1969,9,0
695,1969,10,0
696,1969,11,0
697,1969,12,0
698,1969,13,0
699,1969,14,0
700,1968,1,0
701,1968,2,11
702,1968,3,14
703,1968,4,15
704,1968,5,2
705,1968,6,0
706,1968,7,0
707,1968,8,0
708,1968,9,0
709,1968,10,0
710,1968,11,0
711,1968,12,0
712,1968,13,0
713,1968,14,0
714,1967,1,0
715,1967,2,7
716,1967,3,16
717,1967,4,13
718,1967,5,2
719,1967,6,1
720,1967,7,0
721,1967,8,1
722,1967,9,0
723,1967,10,0
724,1967,11,0
725,1967,12,0
726,1967,13,0
727,1967,14,0
728,1966,1,0
729,1966,2,14
730,1966,3,13
731,1966,4,8
732,1966,5,1
733,1966,6,0
734,1966,7,0
735,1966,8,0
736,1966,9,0
737,1966,10,0
738,1966,11,0
739,1966,12,0
740,1966,13,0
741,1966,14,0
742,1965,1,0
743,1965,2,13
744,1965,3,8
745,1965,4,5
746,1965,5,2
747,1965,6,0
748,1965,7,0
749,1965,8,0
750,1965,9,0
751,1965,10,0
752,1965,11,0
753,1965,12,0
754,1965,13,0
755,1965,14,0
756,1964,1,0
757,1964,2,9
758,1964,3,11
759,1964,4,5
760,1964,5,1
761,1964,6,2
762,1964,7,0
763,1964,8,0
764,1964,9,0
765,1964,10,0
766,1964,11,0
767,1964,12,0
768,1964,13,0
769,1964,14,0
